# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
     205.505        -34.188    0.000438019      0.0491284        0.50483        1.84723
     206.005        -34.392    0.000437225      0.0479304       0.505178        1.84685
     206.505        -34.597    0.000436431       0.046759       0.505534        1.84593
     207.005        -34.802    0.000435638      0.0456139       0.505898        1.84449
     207.505        -35.007    0.000434845      0.0444947        0.50627         1.8425
     208.005        -35.212    0.000434054      0.0434009        0.50665        1.83997
     208.505        -35.418    0.000433263       0.042332       0.507036        1.83688
     209.005        -35.623    0.000432473      0.0412878        0.50743        1.83325
     209.505        -35.829    0.000431684      0.0402676       0.507831        1.82907
     210.005        -36.035    0.000430896      0.0392711       0.508239        1.82433
     210.505        -36.241    0.000430109      0.0382979       0.508653        1.81904
     211.005        -36.447    0.000429323      0.0373475       0.509073        1.81319
     211.505        -36.653    0.000428538      0.0364194       0.509499        1.80679
     212.005        -36.859    0.000427753      0.0355134       0.509932        1.79984
     212.505        -37.065     0.00042697      0.0346289        0.51037        1.79234
     213.005        -37.271    0.000426188      0.0337655       0.510813         1.7843
     213.505        -37.477    0.000425406      0.0329228       0.511262        1.77572
     214.005        -37.684    0.000424626      0.0321004       0.511717         1.7666
     214.505        -37.890    0.000423846      0.0312978       0.512176        1.75696
